Company/Brand,Sector,Stage,HeadQuarter,What it does,Amount($),Year
TheCollegeFever,Brand Marketing,Seed,Bangalore,"TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",250000.0,2018
Happy Cow Dairy,Agriculture,Seed,Mumbai,A startup which aggregates milk from dairy farmers in rural Maharashtra.,584000.0,2018
MyLoanCare,Credit,Series A,Gurgaon,Leading Online Loans Marketplace in India,949000.0,2018
PayMe India,Financial Services,Angel,Noida,PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,2000000.0,2018
Eunimart,E-Commerce Platforms,Seed,Hyderabad,Eunimart is a one stop solution for merchants to create a difference by selling globally.,121793941.14254577,2018
Hasura,Cloud Infrastructure,Seed,Bengaluru,"Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",1600000.0,2018
Tripshelf,Internet,Seed,Kalkaji,Tripshelf is an online market place for holiday packages.,233600.0,2018
Hyperdata.IO,Market Research,Angel,Hyderabad,Hyperdata combines advanced machine learning with human intelligence.,730000.0,2018
Freightwalla,Information Services,Seed,Mumbai,Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,121793941.14254577,2018
Microchip Payments,Mobile Payments,Seed,Bangalore,Microchip payments is a mobile-based payment application and point-of-sale device,121793941.14254577,2018
BizCrum Infotech Pvt. Ltd.,B2B,Seed,Delhi,Building Transactionary B2B Marketplaces,121793941.14254577,2018
Emojifi,Internet,Seed,Bengaluru,"Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.",121793941.14254577,2018
Flock,Apps,Seed,India,Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,121793941.14254577,2018
Freshboxx,Food Delivery,Seed,Hubli,"Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.",121793941.14254577,2018
Wide Mobility Mechatronics,Industrial Automation,Seed,Bangalore,Wide Mobility Mechatronics is a Private Company limited by Shares,121793941.14254577,2018
Pitstop,Automotive,Seed,Bengaluru,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,1460000.0,2018
Mihuru,Finance,Seed,Mumbai,Mihuru is an online platform which gives micro loans for air travel .,150000.0,2018
Fyle,Accounting,Seed,Bengaluru,Fyle is an intelligent expense management platform for enterprises.,1100000.0,2018
AppWharf,AI,Seed,New Delhi,Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,121793941.14254577,2018
Antariksh Waste Ventures Pvt ltd,IoT,Seed,Chennai,Waste Management for Smart Cities,7300.0,2018
Cogoport,Air Transportation,Series A,Mumbai,Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,6000000.0,2018
PaisaDukan,Financial Services,Seed,Mumbai,A P2P lending marketplace platform,650000.0,2018
Sleepy Owl Coffee,Food & Beverages,Seed,New Delhi,"Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",511000.0,2018
BlueJack,Autonomous Vehicles,Seed,Delhi,Delhi-based online used vehicles marketplace.,934400.0,2018
PregBuddy,Enterprise Software,Seed,Bengaluru,PregBuddy is a smart connected care platform for expecting mothers.,121793941.14254577,2018
AgNext Technologies,Agriculture,Series A,Mohali,AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,121793941.14254577,2018
Pando,Logistics,Seed,Chennai,A startup which digitizes logistics operations for Fortune 500 companies.,2000000.0,2018
Mintifi,Financial Services,Seed,Mumbai,Online lending startup based in Mumbai.,2000000.0,2018
Carcrew,Automotive,Seed,Mumbai,India's Online Auto Repair Marketplace,2000000.0,2018
NicheAI,AI,Angel,Hyderabad,Early stage Artificial Intelligence (AI) start up.,121793941.14254577,2018
Chariot Tech,IoT,Seed,New Delhi,Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.,292000.0,2018
Ideal Insurance Brokers/ 121Policy.com,Insurance,Seed,Kolkata,Ideal Insurance Broking is one of the leaders in insurance broking domain.,1000000.0,2018
Loanzen,Financial Services,Seed,Bangalore,Loanzen helps small businesses get unsecured working capital loans against their their pending invoices.,121793941.14254577,2018
Mojro Technologies,IT,Seed,Bengaluru,Mojro envisions to be the world's largest technology-enabled logistics platform.,650000.0,2018
Elemential,Blockchain,Seed,Mumbai,"Blockchain Development Platform To Design, Run & Scale Blockchain Networks.",1000000.0,2018
Loadshare,Industrial Automation,Series A,Bengaluru,LoadShare is India’s fastest growing logistics company,5000000.0,2018
Yumlane,Food & Beverages,Series A,Mumbai,Food startup Yumlane operated by QwikPik Technology,4000000.0,2018
Kriger Campus,Education,Seed,New Delhi,A Education Start Up.,438000.0,2018
Pipa+Bella,E-Commerce,Series A,Mumbai,Pipa+Bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends,1000000.0,2018
Kaleidofin,Financial Services,Seed,Chennai,A fintech platform.,2800000.0,2018
Chakr Innovation,Renewable Energy,Seed,New Delhi,Chakr has developed the world’s first retro-fit emission control device for diesel generators.,121793941.14254577,2018
IndigoLearn,E-Learning,Seed,Hyderabad,India's the premier education destination catering to the needs of aspiring students of the CA community.,150000.0,2018
UClean,Clean Energy,Seed,India,UClean is a tech enabled laundry service provider.,584000.0,2018
Coutloot,E-Commerce,Seed,Mumbai,The Fashion Re-commerce platform.,1000000.0,2018
Letstrack,Apps,Seed,New Delhi,"Letstrack GPS tracking devices to track your kids, bike, car and other vehicles. GPS trackers for Vehicle Tracking System in India.",1700000.0,2018
Pooltoo,Transport,Seed,New Delhi,Pooltoo offers a premium ride sharing platform.,121793941.14254577,2018
Finzy,Financial Services,Seed,Bangalore,finzy is the premier peer to peer lending solution in India.,1300000.0,2018
Fitternity,Fitness,Seed,Mumbai,India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey,2000000.0,2018
Keito,AI,Seed,Pune,Building an Intelligent Digital Assistant.,121793941.14254577,2018
Tolet for Students,Hospitality,Seed,Jodhpur,"Reserve your Room, Hostel or Paying Guest, while relocating for higher education.",73000.0,2018
Chai Kings,Food & Beverages,Seed,Chennai,Chai Kings is a tea retail chain,292000.0,2018
Dainik Jagran,Media and Entertainment,Seed,Kanpur,Dainik Jagran is a media and communications group.,584000.0,2018
Playtoome,Broadcasting,Seed,Bengaluru,Playtoome is a live entertainment destination,292000.0,2018
ONGO Framework,B2B,Angel,Hyderabad,ONGO Framework is a B2B IT and digital solution provider.,1000000.0,2018
Notesgen,EdTech,Seed,New Delhi,A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.,182500.0,2018
Arogya MedTech,Health Care,Seed,Kolkata,Arogya MedTech is a Research & Development organization in Bio-Medical industry.,219000.0,2018
Propshop24,E-Commerce,Seed,Mumbai,"Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",500000.0,2018
myUpchar,Health Care,Series A,New Delhi,To bring health issues to people in their language.,5000000.0,2018
MissMalini Entertainment,Undisclosed,Seed,Mumbai,"MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians.",1518400.0,2018
Rooter,Sports,Seed,India,Rooter is a mobile-based platform,657000.0,2018
ZestMoney,Big Data,Series A,Bangalore,Zest is India's first completely automated consumer digital lending platform.,13400000.0,2018
alphaics Corporation,Cloud Computing,Seed,Bengaluru,Advancing AI compute,121793941.14254577,2018
MyDentistChoice,Health Care,Seed,Hyderabad,MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,500000.0,2018
Sattviko,Food Processing,Angel,New Delhi,Sattviko fosters wellness and shares Indianness through the Sattvik way of cooking that is wholesome and tasty!,121793941.14254577,2018
Sensibull,Trading Platform,Seed,Bangalore,Investment Management Platform,365000.0,2018
Bombay Shaving Company,Consumer Goods,Series A,New Delhi,Bombay Shaving Company is a Men's grooming startup,121793941.14254577,2018
MedCords,Health Care,Seed,Pune,Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,385440.0,2018
University Living,Education,Seed,New Delhi,University Living is an online global student housing marketplace.,121793941.14254577,2018
&ME,Food & Beverages,Seed,Bangalore,Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.,121793941.14254577,2018
Enakshi,Fashion,Seed,Ahmedabad,Enakshi is an online apparel brand for women.,116800.0,2018
Ultraviolette Automotive,Automotive,Series A,Bangalore,Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,876.0,2018
Inthree Access,Consulting,Series A,Chennai,Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India.,4000000.0,2018
BUGWORKS Research India,Biotechnology,Series A,Bangalore,BUGWORKS is a drug discovery company.,9000000.0,2018
Guardian.in,Health Care,Seed,Mumbai,GNC is a leading global specialty retailer of health and wellness products that takes pride to be the world's largest company,121793941.14254577,2018
PrestLoans,Credit,Seed,New Delhi,"PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans.",100000.0,2018
Wimoxez,Internet,Seed,Hyderabad,"Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.",20000.0,2018
India Accelerator,Communities,Angel,Gurgaon,India Accelerator runs mentorship-driven incubation and acceleration programs for start ups.,121793941.14254577,2018
HappyEMI,Consumer,Seed,Bangalore,HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online,1000000.0,2018
Wishup,Consumer Applications,Seed,Azadpur,Premium Personal Assistance service,121793941.14254577,2018
Hansel.io,Mobile,Series A,Bangalore,"Hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences.",4000000.0,2018
Propelld,Education,Seed,Bengaluru,Propelld is a student education financing platform.,250000.0,2018
PivotRoots,Advertising,Series A,Mumbai,Digital Marketing powered by Data & Technology; fueled by Design thinking,121793941.14254577,2018
ZiffyHomes,Marketplace,Seed,New Delhi,ZiffyHomes is a technology driven marketplace to find out home on rent.,120000.0,2018
Carmesi,Health Care,Seed,Gurgaon,Carmesi is a brand of high-end menstrual-hygiene products in India.,496400.0,2018
OckyPocky,E-Learning,Angel,Haryana,OckyPocky is a interactive and personalised language learning app for preschool kids.,121793941.14254577,2018
Racetrack,AI,Seed,Bangalore,"Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors.",4993200.0,2018
WHR,Health Care,Seed,Pune,"WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible.",143145.0,2018
Asteria Aerospace,Aerospace,Seed,Bangalore,Asteria Aerospace is a robotics and artificial intelligence company.,121793941.14254577,2018
FabAlley,E-Commerce,Series B,Noida,"FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar",8760000.0,2018
Tranzmeo,AI,Pre-seed,Cochin,Tranzmeo Connect : is A Complete Comprehensive Anomaly forensic Solution with Actionable Insights.,121793941.14254577,2018
SBI Life,Insurance,Private Equity,Mumbai,SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.,742000000.0,2018
